term_key,search_term,ads_campaigns,ads_ad_groups,impressions_ads,clicks_ads,cost_ads,conversions_ads,search_budget_lost_impression_share,ctr_ads,avg_cpc_ads,cpa_ads,query_sc,clicks_sc,impressions_sc,ctr_sc,position_sc,source_match,intent,is_branded,is_priority_product,is_competitor_or_third_party,is_coupon_or_freebie,expected_ctr_sc,opportunity_score,recommended_action,priority,reason,ads_breakdown_summary,revenue_upside_50pct_scale,estimated_revenue_potential_new_kw
kokeshi pele de porcelana,kokeshi pele de porcelana,WG_Search | Institucional | bd,search_ kokeshi | pele porcelana,1688.0,397.0,227.681539,39.034019,0.0016114096553333,0.23518957345971564,0.5735051360201511,5.832900245296289,kokeshi pele de porcelana,66.0,1691.0,0.03903015966883501,1.16,ads+search_console,BRANDED,True,True,False,False,0.18,19,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; demanda orgânica muito forte; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo; produto/categoria prioritária,"WG_Search | Institucional | bd / search_ kokeshi | pele porcelana: custo R$227.68, conv 39.0, CPA R$5.83, perda orçamento 0%, manter_escalar_neste_grupo",1756.53,
pele de porcelana kokeshi,pele de porcelana kokeshi,WG_Search | Institucional | bd,search_ kokeshi | pele porcelana,1055.0,157.0,90.996095,10.237855,0.0016114096553333,0.14881516587677726,0.5795929617834394,8.888199237047214,pele de porcelana kokeshi,33.0,1084.0,0.03044280442804428,1.06,ads+search_console,BRANDED,True,True,False,False,0.18,19,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; demanda orgânica muito forte; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo; produto/categoria prioritária,"WG_Search | Institucional | bd / search_ kokeshi | pele porcelana: custo R$91.00, conv 10.2, CPA R$8.89, perda orçamento 0%, manter_escalar_neste_grupo",460.7,
gota de colageno kokeshi,gota de colageno kokeshi,WG_Search | Institucional | bd,search_ kokeshi | pele porcelana | search_kokeshi | search_kokeshi | olhos de gueixa | search_kokeshi | óleo de rosa mosqueta,1758.0,76.0,46.500150000000005,3.220647,0.0016114096553333,0.04323094425483504,0.6118440789473685,14.43813929312961,gota de colageno kokeshi,89.0,2777.0,0.03204897371263954,1.14,ads+search_console,BRANDED,True,True,False,False,0.18,19,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; demanda orgânica muito forte; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo; produto/categoria prioritária,"WG_Search | Institucional | bd / search_kokeshi: custo R$46.41, conv 3.2, CPA R$14.41, perda orçamento 0%, manter_escalar_neste_grupo || WG_Search | Institucional | bd / search_kokeshi | óleo de rosa mosqueta: custo R$0.09, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Institucional | bd / search_ kokeshi | pele porcelana: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Institucional | bd / search_kokeshi | olhos de gueixa: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",144.93,
creme coreano,creme coreano,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | creme coreano para o rosto | search | produtos coreanos para pele | shopping | best sellers | todos,4302.0,94.0,81.12206,3.996023,0.1216678938796651,0.02185030218503022,0.8630006382978724,20.300698969950876,creme coreano,3.0,851.0,0.0035252643948296123,7.79,ads+search_console,COMPRADOR,False,True,False,False,0.02,18,escalar_pago_e_otimizar_seo,alta,demanda orgânica relevante; alta impressão orgânica; posição orgânica com espaço para captura; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA aceitável; produto/categoria prioritária,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$7.77, conv 2.0, CPA R$3.88, perda orçamento 0%, manter_escalar_neste_grupo || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$45.96, conv 1.5, CPA R$30.64, perda orçamento 12%, manter_otimizar_neste_grupo || WG_Search | Soluções | nbd / search | produtos coreanos para pele: custo R$16.13, conv 0.5, CPA R$32.52, perda orçamento 8%, manter_otimizar_neste_grupo || WG_Search | Soluções | nbd / search | creme coreano para o rosto: custo R$11.26, conv 0.0, sem CPA, perda orçamento 8%, monitorar",,
kokeshi,kokeshi,WG_Search | Institucional | bd,search_ kokeshi | pele porcelana | search_kokeshi,62513.0,23709.0,7518.925242,2248.113424,0.0016114096553333,0.37926511285652587,0.31713379906364675,3.34454888340189,kokeshi,2247.0,43679.0,0.05144348542777994,1.34,ads+search_console,BRANDED,True,False,False,False,0.18,17,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; demanda orgânica muito forte; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo,"WG_Search | Institucional | bd / search_kokeshi: custo R$7518.91, conv 2248.1, CPA R$3.34, perda orçamento 0%, manter_escalar_neste_grupo || WG_Search | Institucional | bd / search_ kokeshi | pele porcelana: custo R$0.02, conv 0.0, sem CPA, perda orçamento 0%, monitorar",101165.1,
kokeshi é bom,kokeshi é bom,WG_Search | Institucional | bd,search_ kokeshi | pele porcelana | search_kokeshi | search_kokeshi | body splash | search_kokeshi | olhos de gueixa,10148.0,785.0,1069.963098,86.782639,0.0016114096553333,0.07735514387071345,1.363010315923567,12.329229789843103,kokeshi é bom,177.0,7165.0,0.024703419399860434,2.36,ads+search_console,BRANDED,True,False,False,False,0.1,17,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; demanda orgânica muito forte; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo,"WG_Search | Institucional | bd / search_kokeshi: custo R$1063.38, conv 86.8, CPA R$12.25, perda orçamento 0%, manter_escalar_neste_grupo || WG_Search | Institucional | bd / search_ kokeshi | pele porcelana: custo R$6.48, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Institucional | bd / search_kokeshi | óleo de rosa mosqueta: custo R$0.10, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Institucional | bd / search_kokeshi | body splash: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Institucional | bd / search_kokeshi | olhos de gueixa: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",3905.22,
kokeshi cosméticos,kokeshi cosméticos,WG_Search | Institucional | bd,search_kokeshi | search_kokeshi | body splash,9141.0,2806.0,896.304828,305.412469,0.0016114096553333,0.30696860299748385,0.3194243863150392,2.9347355428373163,kokeshi cosméticos,324.0,5606.0,0.05779521940777738,1.1,ads+search_console,BRANDED,True,False,False,False,0.18,17,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; demanda orgânica muito forte; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo,"WG_Search | Institucional | bd / search_kokeshi: custo R$896.30, conv 305.4, CPA R$2.93, perda orçamento 0%, manter_escalar_neste_grupo || WG_Search | Institucional | bd / search_kokeshi | body splash: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",13743.56,
kokeshi reclame aqui,kokeshi reclame aqui,WG_Search | Institucional | bd,search_kokeshi | search_kokeshi | óleo de rosa mosqueta,1414.0,91.0,162.172055,7.581214,0.0016114096553333,0.06435643564356436,1.7821104945054944,21.391304215921092,kokeshi reclame aqui,50.0,1917.0,0.02608242044861763,5.42,ads+search_console,BRANDED,True,False,False,False,0.02,17,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; demanda orgânica muito forte; posição orgânica com espaço para captura; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA aceitável,"WG_Search | Institucional | bd / search_kokeshi: custo R$162.17, conv 7.6, CPA R$21.39, perda orçamento 0%, manter_escalar_neste_grupo || WG_Search | Institucional | bd / search_kokeshi | óleo de rosa mosqueta: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
creme kokeshi,creme kokeshi,WG_Search | Institucional | bd,search_kokeshi,1990.0,210.0,118.671616,12.222874,0.0016114096553333,0.10552763819095477,0.5651029333333333,9.708978101222348,creme kokeshi,50.0,1732.0,0.028868360277136258,1.11,ads+search_console,BRANDED,True,False,False,False,0.18,17,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; demanda orgânica muito forte; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo,"WG_Search | Institucional | bd / search_kokeshi: custo R$118.67, conv 12.2, CPA R$9.71, perda orçamento 0%, manter_escalar_neste_grupo",550.03,
olhos de gueixa,olhos de gueixa,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | olhos de gueixa | shopping | best sellers | todos,3431.0,248.0,302.732782,14.049706,0.1216678938796651,0.07228213348877878,1.2206967016129031,21.547268106535466,olhos de gueixa,18.0,972.0,0.018518518518518517,1.38,ads+search_console,COMPRADOR,False,True,False,False,0.18,16,escalar_pago_com_controle,alta,demanda orgânica relevante; alta impressão orgânica; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA aceitável; produto/categoria prioritária,"WG_Search | Soluções | nbd / search | olhos de gueixa: custo R$220.54, conv 10.6, CPA R$20.75, perda orçamento 8%, manter_escalar_neste_grupo || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$51.40, conv 1.9, CPA R$26.75, perda orçamento 12%, manter_otimizar_neste_grupo || WG_Shopping | Portfólio Geral | nbd / todos: custo R$30.79, conv 1.5, CPA R$20.53, perda orçamento 0%, manter_otimizar_neste_grupo",,
