term_key,search_term,ads_campaigns,ads_ad_groups,impressions_ads,clicks_ads,cost_ads,conversions_ads,search_budget_lost_impression_share,ctr_ads,avg_cpc_ads,cpa_ads,query_sc,clicks_sc,impressions_sc,ctr_sc,position_sc,source_match,intent,is_branded,is_priority_product,is_competitor_or_third_party,is_coupon_or_freebie,expected_ctr_sc,opportunity_score,recommended_action,priority,reason,ads_breakdown_summary
kokeshi pele de porcelana,kokeshi pele de porcelana,WG_Search | Institucional | bd,search_ kokeshi | pele porcelana,1659.0,393.0,223.126879,40.034019,0.0,0.2368896925858951,0.5677528727735369,5.573431910495921,kokeshi pele de porcelana,56.0,1364.0,0.0410557184750733,1.2,ads+search_console,BRANDED,True,True,False,False,0.18,19,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; demanda orgânica muito forte; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo; produto/categoria prioritária,"WG_Search | Institucional | bd / search_ kokeshi | pele porcelana: custo R$223.13, conv 40.0, CPA R$5.57, perda orçamento 0%, manter_escalar_neste_grupo"
creme coreano,creme coreano,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | creme coreano para o rosto | search | produtos coreanos para pele | shopping | best sellers | todos,4196.0,93.0,79.49206,3.996023,0.0,0.0221639656816015,0.8547533333333333,19.89279340984774,creme coreano,3.0,744.0,0.0040322580645161,7.619999999999999,ads+search_console,COMPRADOR,False,True,False,False,0.02,19,escalar_pago_e_otimizar_seo,alta,demanda orgânica relevante; alta impressão orgânica; posição orgânica com espaço para captura; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo; produto/categoria prioritária,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$6.58, conv 2.0, CPA R$3.29, perda orçamento 0%, manter_escalar_neste_grupo || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$46.53, conv 1.5, CPA R$31.02, perda orçamento 0%, manter_otimizar_neste_grupo || WG_Search | Soluções | nbd / search | produtos coreanos para pele: custo R$15.12, conv 0.5, CPA R$30.48, perda orçamento 0%, manter_otimizar_neste_grupo || WG_Search | Soluções | nbd / search | creme coreano para o rosto: custo R$11.26, conv 0.0, sem CPA, perda orçamento 0%, monitorar"
kokeshi reclame aqui,kokeshi reclame aqui,WG_Search | Institucional | bd,search_kokeshi | search_kokeshi | óleo de rosa mosqueta,1396.0,100.0,173.058965,10.581214,0.0,0.0716332378223495,1.73058965,16.355303370671834,kokeshi reclame aqui,40.0,1580.0,0.0253164556962025,5.38,ads+search_console,BRANDED,True,False,False,False,0.02,18,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; demanda orgânica muito forte; posição orgânica com espaço para captura; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo,"WG_Search | Institucional | bd / search_kokeshi: custo R$173.06, conv 10.6, CPA R$16.36, perda orçamento 0%, manter_escalar_neste_grupo || WG_Search | Institucional | bd / search_kokeshi | óleo de rosa mosqueta: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar"
kokeshi,kokeshi,WG_Search | Institucional | bd,search_ kokeshi | pele porcelana | search_kokeshi,61952.0,23650.0,7431.022587,2277.47867,0.0,0.3817471590909091,0.3142081432135307,3.262828620476169,kokeshi,1874.0,35725.0,0.0524562631210636,1.33,ads+search_console,BRANDED,True,False,False,False,0.18,17,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; demanda orgânica muito forte; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo,"WG_Search | Institucional | bd / search_kokeshi: custo R$7431.00, conv 2277.5, CPA R$3.26, perda orçamento 0%, manter_escalar_neste_grupo || WG_Search | Institucional | bd / search_ kokeshi | pele porcelana: custo R$0.02, conv 0.0, sem CPA, perda orçamento 0%, monitorar"
kokeshi é bom,kokeshi é bom,WG_Search | Institucional | bd,search_ kokeshi | pele porcelana | search_kokeshi | search_kokeshi | body splash | search_kokeshi | olhos de gueixa,10206.0,806.0,1086.758081,88.749554,0.0,0.0789731530472271,1.34833508808933,12.245223012613671,kokeshi é bom,155.0,5817.0,0.0266460374763623,1.96,ads+search_console,BRANDED,True,False,False,False,0.1,17,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; demanda orgânica muito forte; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo,"WG_Search | Institucional | bd / search_kokeshi: custo R$1080.18, conv 88.7, CPA R$12.17, perda orçamento 0%, manter_escalar_neste_grupo || WG_Search | Institucional | bd / search_ kokeshi | pele porcelana: custo R$6.48, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Institucional | bd / search_kokeshi | óleo de rosa mosqueta: custo R$0.10, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Institucional | bd / search_kokeshi | body splash: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Institucional | bd / search_kokeshi | olhos de gueixa: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar"
kokeshi cosméticos,kokeshi cosméticos,WG_Search | Institucional | bd,search_kokeshi | search_kokeshi | body splash,8963.0,2769.0,857.533734,302.391356,0.0,0.3089367399308267,0.309690767063922,2.8358407639139,kokeshi cosméticos,282.0,4685.0,0.0601921024546424,1.11,ads+search_console,BRANDED,True,False,False,False,0.18,17,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; demanda orgânica muito forte; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo,"WG_Search | Institucional | bd / search_kokeshi: custo R$857.53, conv 302.4, CPA R$2.84, perda orçamento 0%, manter_escalar_neste_grupo || WG_Search | Institucional | bd / search_kokeshi | body splash: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar"
creme kokeshi,creme kokeshi,WG_Search | Institucional | bd,search_kokeshi,1948.0,201.0,111.751503,12.222874,0.0,0.103182751540041,0.5559776268656716,9.142817229401205,creme kokeshi,45.0,1466.0,0.0306957708049113,1.11,ads+search_console,BRANDED,True,False,False,False,0.18,17,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; demanda orgânica muito forte; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo,"WG_Search | Institucional | bd / search_kokeshi: custo R$111.75, conv 12.2, CPA R$9.14, perda orçamento 0%, manter_escalar_neste_grupo"
pele de porcelana kokeshi,pele de porcelana kokeshi,WG_Search | Institucional | bd,search_ kokeshi | pele porcelana,1045.0,161.0,90.595523,10.237855,0.0,0.154066985645933,0.5627051118012423,8.84907268172874,pele de porcelana kokeshi,28.0,877.0,0.0319270239452679,1.08,ads+search_console,BRANDED,True,True,False,False,0.18,17,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo; produto/categoria prioritária,"WG_Search | Institucional | bd / search_ kokeshi | pele porcelana: custo R$90.60, conv 10.2, CPA R$8.85, perda orçamento 0%, manter_escalar_neste_grupo"
olhos de gueixa,olhos de gueixa,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | olhos de gueixa | shopping | best sellers | todos,3327.0,240.0,287.248539,13.049706,0.0,0.0721370604147881,1.1968689125,22.01187819863528,olhos de gueixa,16.0,808.0,0.0198019801980198,1.2899999999999998,ads+search_console,COMPRADOR,False,True,False,False,0.18,16,escalar_pago_com_controle,alta,demanda orgânica relevante; alta impressão orgânica; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA aceitável; produto/categoria prioritária,"WG_Search | Soluções | nbd / search | olhos de gueixa: custo R$216.98, conv 9.6, CPA R$22.53, perda orçamento 0%, manter_escalar_neste_grupo || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$44.18, conv 1.9, CPA R$23.00, perda orçamento 0%, manter_otimizar_neste_grupo || WG_Shopping | Portfólio Geral | nbd / todos: custo R$26.09, conv 1.5, CPA R$17.39, perda orçamento 0%, manter_otimizar_neste_grupo"
kokeshi funciona,kokeshi funciona,WG_Search | Institucional | bd,search_ kokeshi | pele porcelana | search_kokeshi | search_kokeshi | body splash | search_kokeshi | óleo de rosa mosqueta,1087.0,55.0,71.833097,3.053884,0.0,0.0505979760809567,1.306056309090909,23.52188131572777,kokeshi funciona,60.0,1531.0,0.039190071848465,2.01,ads+search_console,BRANDED,True,False,False,False,0.1,16,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; demanda orgânica muito forte; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA aceitável,"WG_Search | Institucional | bd / search_kokeshi: custo R$69.92, conv 3.1, CPA R$22.90, perda orçamento 0%, manter_escalar_neste_grupo || WG_Search | Institucional | bd / search_ kokeshi | pele porcelana: custo R$1.91, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Institucional | bd / search_kokeshi | body splash: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Institucional | bd / search_kokeshi | óleo de rosa mosqueta: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar"
